x	y	line_id
8.657	133.114	0082-0122
8.580	133.050	0082-0122
8.503	132.986	0082-0122
8.426	132.922	0082-0122
8.350	132.858	0082-0122
8.273	132.794	0082-0122
8.196	132.730	0082-0122
8.119	132.666	0082-0122
8.042	132.602	0082-0122
7.965	132.538	0082-0122
7.889	132.474	0082-0122
7.812	132.410	0082-0122
7.735	132.346	0082-0122
7.658	132.282	0082-0122
7.581	132.218	0082-0122
7.504	132.154	0082-0122
7.428	132.089	0082-0122
7.351	132.025	0082-0122
7.274	131.961	0082-0122
7.197	131.897	0082-0122
7.120	131.833	0082-0122
7.044	131.769	0082-0122
6.967	131.705	0082-0122
6.890	131.641	0082-0122
6.813	131.577	0082-0122
6.736	131.513	0082-0122
6.659	131.449	0082-0122
6.583	131.385	0082-0122
6.506	131.321	0082-0122
6.429	131.257	0082-0122
6.352	131.193	0082-0122
6.275	131.129	0082-0122
6.198	131.065	0082-0122
6.122	131.001	0082-0122
6.045	130.937	0082-0122
5.968	130.873	0082-0122
5.891	130.809	0082-0122
5.827	130.733	0082-0122
5.772	130.649	0082-0122
5.717	130.565	0082-0122
5.663	130.481	0082-0122
5.608	130.398	0082-0122
5.554	130.314	0082-0122
5.499	130.230	0082-0122
5.444	130.146	0082-0122
5.390	130.063	0082-0122
5.335	129.979	0082-0122
5.280	129.895	0082-0122
5.226	129.811	0082-0122
5.171	129.728	0082-0122
5.117	129.644	0082-0122
5.062	129.560	0082-0122
5.007	129.476	0082-0122
4.953	129.393	0082-0122
4.898	129.309	0082-0122
4.843	129.225	0082-0122
4.789	129.141	0082-0122
4.734	129.057	0082-0122
4.680	128.974	0082-0122
4.625	128.890	0082-0122
4.570	128.806	0082-0122
4.516	128.722	0082-0122
4.461	128.639	0082-0122
4.406	128.555	0082-0122
4.352	128.471	0082-0122
